detector,descriptor,#Img,#KptsPerFrame,#KptsPerROI,#KptsMatched,TimeDetectorMs,TimeDescriptorMs,TimeMatchingMs,Total ProcessTime
SHITOMASI,BRISK,0,1370,125,0,42.9986,345.896,0,388.89
SHITOMASI,BRISK,1,1301,118,95,18.4809,345.107,4.29518,363.59
SHITOMASI,BRISK,2,1361,123,88,18.3726,353.494,0.336911,371.87
SHITOMASI,BRISK,3,1358,120,80,17.4578,340.254,0.360171,357.71
SHITOMASI,BRISK,4,1333,120,90,17.1818,339.868,0.347543,357.05
SHITOMASI,BRISK,5,1284,113,82,17.5957,353.924,0.372324,371.52
SHITOMASI,BRISK,6,1322,114,79,17.8734,339.224,0.408096,357.10
SHITOMASI,BRISK,7,1366,123,85,18.2585,347.141,0.369716,365.40
SHITOMASI,BRISK,8,1389,111,86,17.7483,352.011,0.357905,369.76
SHITOMASI,BRISK,9,1339,112,82,17.3988,344.388,0.328606,361.79
,,,,,,,,,366.47
SHITOMASI,BRIEF,0,1370,125,0,16.4285,6.63231,0,23.06
SHITOMASI,BRIEF,1,1301,118,115,20.8381,2.13157,0.394481,22.97
SHITOMASI,BRIEF,2,1361,123,111,16.5657,2.10145,0.363328,18.67
SHITOMASI,BRIEF,3,1358,120,104,16.7908,2.03739,0.411104,18.83
SHITOMASI,BRIEF,4,1333,120,101,16.1281,1.35015,0.322223,17.48
SHITOMASI,BRIEF,5,1284,113,102,15.7881,1.32842,0.301871,17.12
SHITOMASI,BRIEF,6,1322,114,102,15.9243,1.31674,0.274365,17.24
SHITOMASI,BRIEF,7,1366,123,100,16.0081,1.37238,0.386986,17.38
SHITOMASI,BRIEF,8,1389,111,109,16.0269,1.30379,0.303575,17.33
SHITOMASI,BRIEF,9,1339,112,100,16.5502,1.23792,0.326777,17.79
,,,,,,,,,18.79
SHITOMASI,ORB,0,1370,125,0,15.7308,1.24394,0,16.97
SHITOMASI,ORB,1,1301,118,106,23.8889,1.52814,0.369176,25.42
SHITOMASI,ORB,2,1361,123,102,17.6865,1.46704,0.405286,19.15
SHITOMASI,ORB,3,1358,120,99,18.3954,1.38817,0.387795,19.78
SHITOMASI,ORB,4,1333,120,102,20.4813,1.87042,0.365415,22.35
SHITOMASI,ORB,5,1284,113,103,17.1159,1.71108,0.417222,18.83
SHITOMASI,ORB,6,1322,114,97,16.5112,1.13173,0.362144,17.64
SHITOMASI,ORB,7,1366,123,98,17.6348,1.20717,0.33138,18.84
SHITOMASI,ORB,8,1389,111,104,21.3886,1.19217,0.456895,22.58
SHITOMASI,ORB,9,1339,112,97,23.2472,1.35645,0.30962,24.60
,,,,,,,,,20.62
SHITOMASI,FREAK,0,1370,125,0,18.4523,47.3491,0,65.80
SHITOMASI,FREAK,1,1301,118,86,21.5833,47.2591,0.363379,68.84
SHITOMASI,FREAK,2,1361,123,90,15.0384,48.1253,0.461353,63.16
SHITOMASI,FREAK,3,1358,120,86,11.7445,40.3017,0.376483,52.05
SHITOMASI,FREAK,4,1333,120,88,11.999,40.6005,0.372347,52.60
SHITOMASI,FREAK,5,1284,113,86,11.4976,41.6055,0.35615,53.10
SHITOMASI,FREAK,6,1322,114,80,11.8389,39.4868,0.316837,51.33
SHITOMASI,FREAK,7,1366,123,81,11.7727,48.1918,0.44411,59.96
SHITOMASI,FREAK,8,1389,111,86,12.3573,43.504,0.331313,55.86
SHITOMASI,FREAK,9,1339,112,85,15.6853,45.4668,0.389698,61.15
,,,,,,,,,58.39
HARRIS,BRISK,0,115,17,0,18.5909,342.879,0,361.47
HARRIS,BRISK,1,98,14,12,12.3944,331.868,0.118209,344.26
HARRIS,BRISK,2,113,18,10,11.9039,333.265,0.120629,345.17
HARRIS,BRISK,3,121,21,14,12.6822,334.615,0.130293,347.30
HARRIS,BRISK,4,160,26,15,13.2867,336.462,0.139513,349.75
HARRIS,BRISK,5,383,43,16,32.7905,334.89,0.153021,367.68
HARRIS,BRISK,6,85,18,16,12.6893,344.01,0.167737,356.70
HARRIS,BRISK,7,210,31,15,16.1523,338.206,0.15109,354.36
HARRIS,BRISK,8,171,26,23,13.4451,336.054,0.17035,349.50
HARRIS,BRISK,9,281,34,21,18.9125,337.731,0.164256,356.64
,,,,,,,,,353.28
HARRIS,BRIEF,0,115,17,0,13.4174,0.257348,0,13.67
HARRIS,BRIEF,1,98,14,14,13.4069,0.295067,0.173611,13.70
HARRIS,BRIEF,2,113,18,11,13.0295,0.292571,0.083828,13.32
HARRIS,BRIEF,3,121,21,15,11.8532,0.290197,0.096067,12.14
HARRIS,BRIEF,4,160,26,20,15.8,0.312912,0.141862,16.11
HARRIS,BRIEF,5,383,43,24,31.7641,0.358619,0.141093,32.12
HARRIS,BRIEF,6,85,18,26,11.9791,0.299351,0.119897,12.28
HARRIS,BRIEF,7,210,31,16,19.8848,0.331721,0.137425,20.22
HARRIS,BRIEF,8,171,26,24,18.5929,0.537284,0.153441,19.13
HARRIS,BRIEF,9,281,34,23,22.9521,0.309581,0.161416,23.26
,,,,,,,,,17.60
HARRIS,ORB,0,115,17,0,16.7785,0.934141,0,17.71
HARRIS,ORB,1,98,14,12,13.452,1.22043,0.108272,14.67
HARRIS,ORB,2,113,18,12,17.3628,1.27651,0.119844,18.64
HARRIS,ORB,3,121,21,15,12.2061,0.813943,0.10737,13.02
HARRIS,ORB,4,160,26,18,17.1094,0.9137,0.151357,18.02
HARRIS,ORB,5,383,43,24,40.4122,0.881443,0.145591,41.29
HARRIS,ORB,6,85,18,20,11.5388,0.76584,0.128862,12.30
HARRIS,ORB,7,210,31,15,14.6135,0.913733,0.137832,15.53
HARRIS,ORB,8,171,26,24,20.23,1.28251,0.123207,21.51
HARRIS,ORB,9,281,34,22,22.71,0.933186,0.129788,23.64
,,,,,,,,,19.63
HARRIS,FREAK,0,115,17,0,17.5392,43.6669,0,61.21
HARRIS,FREAK,1,98,14,13,12.0701,39.9559,0.115794,52.03
HARRIS,FREAK,2,113,18,13,13.5334,39.7856,0.099514,53.32
HARRIS,FREAK,3,121,21,15,12.1181,43.2154,0.097893,55.33
HARRIS,FREAK,4,160,26,15,12.9287,42.6848,0.148774,55.61
HARRIS,FREAK,5,383,43,17,36.304,43.0431,0.149177,79.35
HARRIS,FREAK,6,85,18,20,12.1695,38.7759,0.156805,50.95
HARRIS,FREAK,7,210,31,12,14.4884,41.9649,0.144232,56.45
HARRIS,FREAK,8,171,26,21,13.8642,42.5547,0.142207,56.42
HARRIS,FREAK,9,281,34,18,18.3446,40.6888,0.150232,59.03
,,,,,,,,,57.97
FAST,BRISK,0,1824,149,0,1.1056,336.802,0,337.91
FAST,BRISK,1,1832,152,97,0.958027,344.668,0.461323,345.63
FAST,BRISK,2,1810,150,104,0.960786,337.055,0.556471,338.02
FAST,BRISK,3,1817,155,101,1.01983,339.475,0.47326,340.49
FAST,BRISK,4,1793,149,98,1.22711,337.625,0.501341,338.85
FAST,BRISK,5,1796,149,85,0.970733,345.104,0.446632,346.07
FAST,BRISK,6,1788,156,107,0.975844,335.19,0.620407,336.17
