detector,descriptor,#Img,#KptsPerFrame,#KptsPerROI,#KptsMatched,TimeDetectorMs,TimeDescriptorMs,TimeMatchingMs
SHITOMASI,BRISK,0,1370,125,0,20.4513,255.79,0
SHITOMASI,BRISK,1,1301,118,95,19.6437,260.561,0.4319
SHITOMASI,BRISK,2,1361,123,88,16.4065,255.708,0.3003
SHITOMASI,BRISK,3,1358,120,80,16.6203,254.681,0.2979
SHITOMASI,BRISK,4,1333,120,90,16.1841,256.181,0.2584
SHITOMASI,BRISK,5,1284,113,82,15.5834,252.589,0.2969
SHITOMASI,BRISK,6,1322,114,79,16.2665,264.645,0.2598
SHITOMASI,BRISK,7,1366,123,85,16.4326,254.891,0.2854
SHITOMASI,BRISK,8,1389,111,86,15.9593,258.837,0.2978
SHITOMASI,BRISK,9,1339,112,82,16.3587,253.753,0.2705

SHITOMASI,BRIEF,0,1370,125,0,15.5817,2.0054,0
SHITOMASI,BRIEF,1,1301,118,115,17.1077,1.6866,0.3006
SHITOMASI,BRIEF,2,1361,123,111,15.8772,1.6778,0.2484
SHITOMASI,BRIEF,3,1358,120,104,15.5531,1.7154,0.2447
SHITOMASI,BRIEF,4,1333,120,101,15.5585,1.6905,0.2583
SHITOMASI,BRIEF,5,1284,113,102,16.9152,1.7209,0.2652
SHITOMASI,BRIEF,6,1322,114,102,15.1382,1.7278,0.2871
SHITOMASI,BRIEF,7,1366,123,100,15.744,1.723,0.2234
SHITOMASI,BRIEF,8,1389,111,109,15.8403,1.7826,0.2541
SHITOMASI,BRIEF,9,1339,112,100,16.8942,1.7335,0.2622

SHITOMASI,ORB,0,1370,125,0,14.6899,1.2923,0
SHITOMASI,ORB,1,1301,118,106,18.2709,0.5449,0.2475
SHITOMASI,ORB,2,1361,123,102,17.4191,0.5388,0.2461
SHITOMASI,ORB,3,1358,120,99,17.6518,0.8935,0.2334
SHITOMASI,ORB,4,1333,120,102,17.1181,0.8986,0.2506
SHITOMASI,ORB,5,1284,113,103,17.5054,0.5346,0.2461
SHITOMASI,ORB,6,1322,114,97,18.7955,0.9709,0.2448
SHITOMASI,ORB,7,1366,123,98,17.1287,0.543,0.2406
SHITOMASI,ORB,8,1389,111,104,17.1055,0.8988,0.2697
SHITOMASI,ORB,9,1339,112,97,15.5678,1.5219,0.2441

SHITOMASI,FREAK,0,1370,125,0,17.1529,38.163,0
SHITOMASI,FREAK,1,1301,118,86,16.3164,31.4447,0.2498
SHITOMASI,FREAK,2,1361,123,90,7.8948,30.8901,0.2776
SHITOMASI,FREAK,3,1358,120,86,7.8717,30.7859,0.3276
SHITOMASI,FREAK,4,1333,120,88,7.7383,29.1555,0.2736
SHITOMASI,FREAK,5,1284,113,86,8.7417,28.9194,0.2563
SHITOMASI,FREAK,6,1322,114,80,7.6229,30.3759,0.2478
SHITOMASI,FREAK,7,1366,123,81,7.7199,29.4127,0.3037
SHITOMASI,FREAK,8,1389,111,86,7.7472,28.7846,0.2427
SHITOMASI,FREAK,9,1339,112,85,8.033,29.2069,0.2534

HARRIS,BRISK,0,115,17,0,7.8046,253.397,0
HARRIS,BRISK,1,98,14,12,8.6975,252.825,0.1937
HARRIS,BRISK,2,113,18,10,7.9626,259.778,0.1943
HARRIS,BRISK,3,121,21,14,7.6956,252.867,0.2004
HARRIS,BRISK,4,160,26,15,7.7988,251.013,0.183
HARRIS,BRISK,5,383,43,16,14.3224,257.984,0.1975
HARRIS,BRISK,6,85,18,16,7.1991,255.831,0.2053
HARRIS,BRISK,7,210,31,15,9.4859,251.032,0.1812
HARRIS,BRISK,8,171,26,23,9.6711,249.436,0.2223
HARRIS,BRISK,9,281,34,21,20.9924,264.746,0.1773

HARRIS,BRIEF,0,115,17,0,7.9351,0.1897,0
HARRIS,BRIEF,1,98,14,14,7.9179,0.1787,0.1712
HARRIS,BRIEF,2,113,18,11,8.5589,0.1391,0.1712
HARRIS,BRIEF,3,121,21,15,7.7856,0.1935,0.1707
HARRIS,BRIEF,4,160,26,20,8.3546,0.1835,0.1681
HARRIS,BRIEF,5,383,43,24,15.9194,0.3478,0.1981
HARRIS,BRIEF,6,85,18,26,7.0238,0.3652,0.1725
HARRIS,BRIEF,7,210,31,16,9.3973,0.2492,0.1736
HARRIS,BRIEF,8,171,26,24,8.3063,0.2277,0.1826
HARRIS,BRIEF,9,281,34,23,11.5369,0.2597,0.1808

HARRIS,ORB,0,115,17,0,7.8599,0.4506,0
HARRIS,ORB,1,98,14,12,8.0673,0.4422,0.1745
HARRIS,ORB,2,113,18,12,7.8456,0.4461,0.1876
HARRIS,ORB,3,121,21,15,7.6725,0.4529,0.1715
HARRIS,ORB,4,160,26,18,8.2779,0.4559,0.1643
HARRIS,ORB,5,383,43,24,17.4167,0.5204,0.2013
HARRIS,ORB,6,85,18,20,7.4845,0.4407,0.1815
HARRIS,ORB,7,210,31,15,9.1056,0.4647,0.167
HARRIS,ORB,8,171,26,24,8.5572,0.453,0.177
HARRIS,ORB,9,281,34,22,11.0471,0.459,0.1767

HARRIS,FREAK,0,115,17,0,7.2418,28.6178,0
HARRIS,FREAK,1,98,14,13,7.3073,28.4014,0.1911
HARRIS,FREAK,2,113,18,13,7.6198,28.867,0.1723
HARRIS,FREAK,3,121,21,15,7.4621,28.6276,0.1765
HARRIS,FREAK,4,160,26,15,9.2998,28.065,0.202
HARRIS,FREAK,5,383,43,17,16.7732,28.2927,0.1913
HARRIS,FREAK,6,85,18,20,7.2185,28.7368,0.1854
HARRIS,FREAK,7,210,31,12,9.5295,28.7674,0.1828
HARRIS,FREAK,8,171,26,21,8.2372,29.6014,0.2042
HARRIS,FREAK,9,281,34,18,11.5405,29.5789,0.1815

FAST,BRISK,0,1824,149,0,0.922,265.114,0
FAST,BRISK,1,1832,152,97,0.806,251.041,0.2822
FAST,BRISK,2,1810,150,104,0.8031,250.703,0.2891
FAST,BRISK,3,1817,155,101,0.6015,260.713,0.318
FAST,BRISK,4,1793,149,98,0.8495,267.722,0.3116
FAST,BRISK,5,1796,149,85,0.5236,249.571,0.3091
FAST,BRISK,6,1788,156,107,0.7994,272.075,0.2747
FAST,BRISK,7,1695,150,107,0.7562,270.587,0.3257
FAST,BRISK,8,1749,138,100,0.8522,259.383,0.3186
FAST,BRISK,9,1770,143,100,0.7729,257.161,0.2942

FAST,BRIEF,0,1824,149,0,0.8375,0.5574,0
FAST,BRIEF,1,1832,152,119,0.8268,0.8771,0.2856
FAST,BRIEF,2,1810,150,130,0.8057,0.8441,0.2753
FAST,BRIEF,3,1817,155,118,0.7979,0.6062,0.2761
FAST,BRIEF,4,1793,149,126,0.7953,0.6322,0.2816
FAST,BRIEF,5,1796,149,108,0.7974,0.4756,0.2782
FAST,BRIEF,6,1788,156,123,0.8127,0.6396,0.2564
FAST,BRIEF,7,1695,150,131,0.7993,0.8042,0.2805
FAST,BRIEF,8,1749,138,125,0.802,0.6774,0.2798
FAST,BRIEF,9,1770,143,119,0.8334,0.617,0.2738

FAST,ORB,0,1824,149,0,0.8072,0.6008,0
FAST,ORB,1,1832,152,118,0.8686,0.729,0.2886
